PLANTILLA_DRA;;;;;;;;;
NA;NA;;;;;;;;
NA;NA;;;;;;;;
NA;NA;;;;;;;;
NA;NA;;;;;;;;
NA;NA;;;;;;;;
NA;NA;;;;;;;;
NA;NA;;;;;;;;
NA;NA;;;;;;;;
NA;NA;;;;;;;;
Visc_min;Visc_max;API_min;API_max;Flujo;#BB;#BPC Fija;#BPC Variable;#BPT;DRA (GPH)
30;40;24;25,5;3000;4;0;0;4;0
30;40;24;25,5;4000;4;0;0;5;0
30;40;24;25,5;5000;5;0;0;6;0
30;40;24;25,5;5400;5;1;1;1;0
30;40;24;25,5;5800;5;1;1;2;0
30;40;24;25,5;6200;5;1;1;2;0,736962963
30;40;24;25,5;6600;6;1;1;3;1,38597812
30;40;24;25,5;7000;6;1;1;3;1,469977244
30;40;24;25,5;7400;7;1;1;4;1,553976281
30;40;25,5;27;3000;4;0;0;4;0
30;40;25,5;27;4000;4;0;0;5;0
30;40;25,5;27;5000;5;0;0;6;0
30;40;25,5;27;5400;5;1;1;1;0
30;40;25,5;27;5800;5;1;1;2;0
30;40;25,5;27;6200;5;1;1;2;0,972333333
30;40;25,5;27;6600;6;1;1;3;1,38597812
30;40;25,5;27;7000;6;1;1;3;1,469977244
30;40;25,5;27;7400;7;1;1;4;1,553976281
40;50;24;25,5;3000;4;0;0;4;0
40;50;24;25,5;4000;4;0;0;5;0
40;50;24;25,5;5000;5;0;0;6;0
40;50;24;25,5;5400;5;1;1;1;0
40;50;24;25,5;5800;5;1;1;2;0
40;50;24;25,5;6200;5;1;1;2;0
40;50;24;25,5;6600;6;1;1;3;1,38597812
40;50;24;25,5;7000;6;1;1;3;1,469977244
40;50;24;25,5;7400;7;1;1;4;1,553976281
40;50;25,5;26;3000;4;0;0;4;0
40;50;25,5;26;4000;4;0;0;5;0
40;50;25,5;26;5000;5;0;0;6;0
40;50;25,5;26;5400;5;1;1;2;4,535993517
40;50;25,5;26;5800;5;1;1;2;0
40;50;25,5;26;6200;5;1;1;2;0
40;50;25,5;26;6600;6;1;1;3;1,38597812
40;50;25,5;26;7000;6;1;1;3;1,469977244
40;50;25,5;26;7400;7;1;1;4;1,553976281
50;60;20,5;22;3000;4;0;0;4;0
50;60;20,5;22;4000;4;0;0;5;0
50;60;20,5;22;5000;5;0;0;6;0
50;60;20,5;22;5400;5;1;1;1;0
50;60;20,5;22;5800;6;1;1;2;0
50;60;20,5;22;6200;6;1;1;2;0,736962963
50;60;20,5;22;6600;6;1;1;3;1,38597812
50;60;20,5;22;7000;6;1;1;3;1,469977244
50;60;20,5;22;7400;7;1;1;4;1,553976281
50;60;22;23,5;3000;4;0;0;4;0
50;60;22;23,5;4000;4;0;0;5;0
50;60;22;23,5;5000;5;0;0;6;0
50;60;22;23,5;5400;5;1;1;1;0
50;60;22;23,5;5800;6;1;1;2;0
50;60;22;23,5;6200;6;1;1;2;0
50;60;22;23,5;6600;6;1;1;3;1,38597812
50;60;22;23,5;7000;6;1;1;3;1,469977244
50;60;22;23,5;7400;7;1;1;4;1,553976281
50;60;23,5;25;3000;4;0;0;4;0
50;60;23,5;25;4000;4;0;0;5;0
50;60;23,5;25;5000;5;0;0;6;0
50;60;23,5;25;5400;5;1;1;1;0
50;60;23,5;25;5800;6;1;1;2;0
50;60;23,5;25;6200;6;1;1;2;1,332333333
50;60;23,5;25;6600;6;1;1;3;1,38597812
50;60;23,5;25;7000;6;1;1;3;1,469977244
50;60;23,5;25;7400;7;1;1;4;1,553976281
60;70;20,5;22;3000;4;0;0;4;0
60;70;20,5;22;4000;4;0;0;5;0
60;70;20,5;22;5000;5;0;0;6;0
60;70;20,5;22;5400;5;1;1;1;0
60;70;20,5;22;5800;6;1;1;2;0
60;70;20,5;22;6200;6;1;1;2;1,332333333
60;70;20,5;22;6600;6;1;1;3;1,38597812
60;70;20,5;22;7000;6;1;1;3;1,469977244
60;70;20,5;22;7400;7;1;1;3;1,553976281
60;70;22;23,5;3000;4;0;0;4;0
60;70;22;23,5;4000;4;0;0;5;0
60;70;22;23,5;5000;5;0;0;6;0
60;70;22;23,5;5400;5;1;1;2;0
60;70;22;23,5;5800;6;1;1;2;0
60;70;22;23,5;6200;6;1;1;2;0,820333333
60;70;22;23,5;6600;6;1;1;3;1,38597812
60;70;22;23,5;7000;6;1;1;3;1,469977244
60;70;22;23,5;7400;7;1;1;4;1,553976281
60;70;23,5;25;3000;4;0;0;4;0
60;70;23,5;25;4000;4;0;0;5;0
60;70;23,5;25;5000;5;0;0;6;0
60;70;23,5;25;5400;5;1;1;2;0
60;70;23,5;25;5800;6;1;1;2;0
60;70;23,5;25;6200;6;1;1;2;1,18025
60;70;23,5;25;6600;6;1;1;3;1,38597812
60;70;23,5;25;7000;6;1;1;3;1,469977244
60;70;23,5;25;7400;7;1;1;4;1,553976281
70;80;20,5;22;3000;4;0;0;4;0
70;80;20,5;22;4000;4;0;0;5;0
70;80;20,5;22;5000;5;0;0;6;0
70;80;20,5;22;5400;5;1;1;2;0
70;80;20,5;22;5800;6;1;1;2;0
70;80;20,5;22;6200;6;1;1;2;1,645666667
70;80;20,5;22;6600;6;1;1;3;1,38597812
70;80;20,5;22;7000;6;1;1;3;1,469977244
70;80;20,5;22;7400;7;1;1;4;1,553976281
70;80;22;23,5;3000;4;0;0;4;0
70;80;22;23,5;4000;4;0;0;5;0
70;80;22;23,5;5000;5;0;0;6;0
70;80;22;23,5;5400;5;1;1;2;0
70;80;22;23,5;5800;6;1;1;2;0
70;80;22;23,5;6200;6;1;1;2;1,645666667
70;80;22;23,5;6600;6;1;1;3;1,38597812
70;80;22;23,5;7000;6;1;1;3;1,469977244
70;80;22;23,5;7400;7;1;1;4;1,553976281
70;80;23,5;25;3000;4;0;0;4;0
70;80;23,5;25;4000;4;0;0;5;0
70;80;23,5;25;5000;5;0;0;6;0
70;80;23,5;25;5400;5;1;1;2;0
70;80;23,5;25;5800;6;1;1;2;0
70;80;23,5;25;6200;6;1;1;2;0,68175
70;80;23,5;25;6600;6;1;1;3;1,38597812
70;80;23,5;25;7000;6;1;1;3;1,469977244
70;80;23,5;25;7400;7;1;1;4;1,553976281
80;90;21;22,5;3000;4;0;0;4;0
80;90;21;22,5;4000;4;0;0;5;0
80;90;21;22,5;5000;5;0;0;6;0
80;90;21;22,5;5400;5;1;1;2;0
80;90;21;22,5;5800;6;1;1;2;0
80;90;21;22,5;6200;6;1;1;2;0,736962963
80;90;21;22,5;6600;6;1;1;3;1,38597812
80;90;21;22,5;7000;7;1;1;3;1,469977244
80;90;21;22,5;7400;7;1;1;4;1,553976281
80;90;22,5;24;3000;4;0;0;4;0
80;90;22,5;24;4000;4;0;0;5;0
80;90;22,5;24;5000;5;0;0;6;0
80;90;22,5;24;5400;5;1;1;2;0
80;90;22,5;24;5800;6;1;1;2;0
80;90;22,5;24;6200;6;1;1;2;0,790666667
80;90;22,5;24;6600;6;1;1;3;1,38597812
80;90;22,5;24;7000;7;1;1;3;1,469977244
80;90;22,5;24;7400;7;1;1;4;1,553976281
90;100;21,5;23;3000;4;0;0;4;0
90;100;21,5;23;4000;4;0;0;5;0
90;100;21,5;23;5000;5;0;0;6;0
90;100;21,5;23;5400;5;1;1;2;0
90;100;21,5;23;5800;6;1;1;2;0
90;100;21,5;23;6200;6;1;1;2;0,736962963
90;100;21,5;23;6600;7;1;1;3;1,38597812
90;100;21,5;23;7000;7;1;1;3;1,469977244
90;100;21,5;23;7400;7;1;1;4;1,553976281
90;100;23;24,5;3000;4;0;0;4;0
90;100;23;24,5;4000;4;0;0;5;0
90;100;23;24,5;5000;5;0;0;6;0
90;100;23;24,5;5400;5;1;1;2;0
90;100;23;24,5;5800;6;1;1;2;0
90;100;23;24,5;6200;6;1;1;2;0,736962963
90;100;23;24,5;6600;7;1;1;3;1,38597812
90;100;23;24,5;7000;7;1;1;3;1,469977244
90;100;23;24,5;7400;7;1;1;4;1,553976281
100;110;21,5;23;3000;4;0;0;4;0
100;110;21,5;23;4000;4;0;0;5;0
100;110;21,5;23;5000;5;0;0;6;0
100;110;21,5;23;5400;5;1;1;2;0
100;110;21,5;23;5800;6;1;1;2;0
100;110;21,5;23;6200;6;1;1;2;1,177
100;110;21,5;23;6600;6;1;1;3;1,38597812
100;110;21,5;23;7000;7;1;1;3;1,469977244
100;110;21,5;23;7400;7;1;1;4;1,553976281
110;120;20,5;22;3000;4;0;0;4;0
110;120;20,5;22;4000;4;0;0;5;0
110;120;20,5;22;5000;5;0;0;6;0
110;120;20,5;22;5400;5;1;1;2;0
110;120;20,5;22;5800;6;1;1;2;0
110;120;20,5;22;6200;6;1;1;2;0,736962963
110;120;20,5;22;6600;6;1;1;3;1,38597812
110;120;20,5;22;7000;7;1;1;3;1,469977244
110;120;20,5;22;7400;7;1;1;4;1,553976281
